plant_species,f_width
Phyllanthus attenuatus,4.168272727
Phytelephas aequatorialis,26.48133333
Piper aduncum ,3.25
Pithecellobium dulce,15.0
Posoqueria latifolia,35.74074074074074
Pourouma bicolor,11.916666666666666
Pourouma guianensis,17.074074074074073
Pourouma melinoni,10.07682143
Pourouma minor,14.166666666666666
Pourouma mollis,11.5
Pourouma petiolulata,12.166666666666666
Pourouma tomentosa,11.28
Pourouma villosa,8.944176471
Pouteria ambelaniifolia,21.626
Pouteria bapeba,31.1
Pouteria bilocularis,19.8
Pouteria caimito ,40.6875
Pouteria campanulata,21.00166667
Pouteria cuspidata,20.533333333333335
Pouteria durlandii,63.6
Pouteria egregia,18.56666667
Pouteria engleri,22.0
Pouteria filipes,16.5116
Pouteria guianensis,36.470588235294116
Pouteria hispida,36.470588235294116
Pouteria laevigata,35.608000000000004
Pouteria oblanceolata,30.0
Pouteria procera,24.5
Pouteria reticulata,13.5
Pouteria torta,36.71875
Pouteria vernicosa,32.351
Prockia crucis,6.95825
Protium amazonicum,12.73333333
Protium apiculatum,21.45
Protium crenatum,20.0
Protium ferrugineum,15.268333329999999
Protium glabrescens,12.0
Protium heptaphyllum,15.4
Protium llanorum,11.05
Protium neglectum,11.82133333
Protium opacum,15.02
Protium rhoifolium,20.0
Protium robustum,25.8
Protium sagotianum ,26.849999999999998
Prunus debilis,18.455
Prunus myrtifolia ,9.4
Prunus sellowii,6.246666667
Pseudolmedia hirsuta,14.0
Pseudolmedia laevigata,10.299999999999999
Pseudolmedia laevis ,9.642857142857142
Pseudolmedia rigida,5.5
Pseudomalmea diclina,17.0
Psidium guajava,11.0
Psychotria carthagenesis,5.7615384615384615
Psychotria kappleri,4.8
Psychotria mapourioides,5.0
Psychotria poeppigiana,17.5
Psychotria suterella,11.0
Randia hondensis ,22.91249999875
Rauvolfia paraensis,34.6
Rauvolfia sellowii,6.3
Rheedia macrophylla,63.29333333333333
Rhodostemonodaphne synandra,17.0
Rollinia dolichopetala,21.25
Rollinia edulis,21.3
Rollinia mucosa ,100.0
Rollinia sericea,33.0
Ruizodendron ovale ,16.541666666666668
Sacoglottis cydonioides,10.7
Salacia cordata,43.76033333
Salacia elliptica,42.76470588235294
Sapium stylare,10.89075
Sarcaulus brasiliensis ,20.0
Saurauia brachybotrys,8.825
Schefflera paraensis,14.0
Schinus terebinthifolius,3.791752577
Schlegelia ramizii,8.0
Scleria melaleuca,1.9142857142857141
Senna macranthera,6.9409090909090905
Simarouba amara,10.33
Sloanea guianensis,7.857142857142857
Socratea exorrhiza,21.666666666666668
Sorocea steinbachii,10.5
Souroubea sympetala ,18.0
Spondias mombin,25.0
Spondias venulosa ,25.0
Strychnos amazonica,18.458333333333332
Strychnos erichsonii,28.0
Strychnos panurensis,12.939999998000001
Strychnos schultesiana,68.75
Stryphnodendron guianense,10.0
Styrax ferrugineus,7.2
Swartzia leptopetala,22.158
Syagrus romanzoffiana,24.178217821782177
Syagrus sancona,23.166666666666668
Symphonia globulifera,38.3
Syzygium cumini,17.306451612903224
Talisia intermedia ,25.75
Talisia obovata,10.37675
Talisia retusa,29.5
Tapirira guianensis,7.916666666666667
Telitoxicum minutiflorum,17.0
Tetragastris panamensis,36.45
Theobroma obovatum,44.55
Theobroma subincanum,80.83333333333333
Tococa bullifera,6.1
Tontelea attenuata,32.1125
Tontelea mauritioides,13.700086956521739
Touroulia amazonica,17.0
Trattinnickia aspera,9.14586364
Trichilia micrantha ,4.5
Trichilia pleeana,21.116666666666667
Trichilia tuberculata,9.0
Trichostigma octandra,6.0
Trymatococcus oligandrus,13.0
Unonopsis lindmanii,9.22741935483871
Vassobia breviflora,3.1416666670000004
Virola bicuhyba,15.74074074074074
Virola calophylla ,16.5
Virola duckei,20.0
Virola elongata,11.65
Virola flexuosa,19.283333333333335
Virola kwatae,39.06666667
Virola michelii,16.6640000004
Virola oleifera,18.0
Virola pavonis,19.0
Virola peruviana ,22.5
Virola sebifera,13.0
Virola surinamensis,18.6
Vismia brasiliensis,10.1
Vismia macrophylla,7.522222222
Vismia mandur,9.533333333
Vitex cymosa,16.536666666666665
Vitex megapotamica,15.87
Ziziphus cinnamomum,15.6
