Plant Species,value
Pouteria hispida,36.47058824
Pouteria laevigata,35.608
Pouteria oblanceolata,30
Pouteria procera,24.5
Pouteria reticulata,13.5
Pouteria torta,36.71875
Pouteria vernicosa,32.351
Prockia crucis,6.95825
Protium amazonicum,12.73333333
Protium apiculatum,21.45
Protium crenatum,20
Protium ferrugineum,15.26833333
Protium glabrescens,12
Protium heptaphyllum,15.4
Protium llanorum,11.05
Protium neglectum,11.82133333
Protium opacum,15.02
Protium rhoifolium,20
Protium robustum,25.8
Protium sagotianum ,26.85
Prunus debilis,18.455
Prunus myrtifolia ,9.4
Prunus sellowii,6.246666667
Pseudolmedia hirsuta,14
Pseudolmedia laevigata,10.3
Pseudolmedia laevis ,9.642857143
Pseudolmedia rigida,5.5
Pseudomalmea diclina,17
Psidium guajava,11
Psychotria carthagenesis,5.761538462
Psychotria kappleri,4.8
Psychotria mapourioides,5
Psychotria poeppigiana,17.5
Psychotria suterella,11
Randia hondensis ,22.9125
Rauvolfia paraensis,34.6
Rauvolfia sellowii,6.3
Rheedia macrophylla,63.29333333
Rhodostemonodaphne synandra,17
Rollinia dolichopetala,21.25
Rollinia edulis,21.3
Rollinia mucosa ,100
Rollinia sericea,33
Ruizodendron ovale ,16.54166667
Sacoglottis cydonioides,10.7
Salacia cordata,43.76033333
Salacia elliptica,42.76470588
Sapium stylare,10.89075
Sarcaulus brasiliensis ,20
Saurauia brachybotrys,8.825
Schefflera paraensis,14
Schinus terebinthifolius,3.791752577
Schlegelia ramizii,8
Scleria melaleuca,1.914285714
Senna macranthera,6.940909091
Simarouba amara,10.33
Sloanea guianensis,7.857142857
Socratea exorrhiza,21.66666667
Sorocea steinbachii,10.5
Souroubea sympetala ,18
Spondias mombin,25
Spondias venulosa ,25
Strychnos amazonica,18.45833333
Strychnos erichsonii,28
Strychnos panurensis,12.94
Strychnos schultesiana,68.75
Stryphnodendron guianense,10
Styrax ferrugineus,7.2
Swartzia leptopetala,22.158
Syagrus romanzoffiana,24.17821782
Syagrus sancona,23.16666667
Symphonia globulifera,38.3
Syzygium cumini,17.30645161
Talisia intermedia ,25.75
Talisia obovata,10.37675
Talisia retusa,29.5
Tapirira guianensis,7.916666667
Telitoxicum minutiflorum,17
Tetragastris panamensis,36.45
Theobroma obovatum,44.55
Theobroma subincanum,80.83333333
Tococa bullifera,6.1
Tontelea attenuata,32.1125
Tontelea mauritioides,13.70008696
Touroulia amazonica,17
Trattinnickia aspera,9.14586364
Trichilia micrantha ,4.5
Trichilia pleeana,21.11666667
Trichilia tuberculata,9
Trichostigma octandra,6
Trymatococcus oligandrus,13
Unonopsis lindmanii,9.227419355
Vassobia breviflora,3.141666667
Virola bicuhyba,15.74074074
Virola calophylla ,16.5
Virola duckei,20
Virola elongata,11.65
Virola flexuosa,19.28333333
Virola kwatae,39.06666667
Virola michelii,16.664
Virola oleifera,18
Virola pavonis,19
Virola peruviana ,22.5
Virola sebifera,13
Virola surinamensis,18.6
Vismia brasiliensis,10.1
Vismia macrophylla,7.522222222
Vismia mandur,9.533333333
Vitex cymosa,16.53666667
Vitex megapotamica,15.87
Ziziphus cinnamomum,15.6
