Plant_Species,Native_Introduced
Pouteria vernicosa,N
Pradosia surinamensis,N
Prockia crucis,N
Protium amazonicum,N
Protium apiculatum,N
Protium crenatum,N
Protium ferrugineum,N
Protium glabrescens,N
Protium heptaphyllum,N
Protium llanorum,N
Protium neglectum,N
Protium opacum,N
Protium rhoifolium,N
Protium robustum,N
Protium sagotianum ,N
Prunus brasiliensis,N
Prunus debilis,N
Prunus myrtifolia ,N
Prunus sellowii,N
Pseudolmedia hirsuta,N
Pseudolmedia laevigata,N
Pseudolmedia laevis ,N
Pseudolmedia obliqua,N
Pseudolmedia rigida,N
Pseudomalmea diclina,N
Psidium guajava,N
Psidium guineensis,N
Psychotria capitata,N
Psychotria carthagenesis,N
Psychotria hoffmannseggiana,N
Psychotria kappleri,N
Psychotria mapourioides,N
Psychotria poeppigiana,N
Psychotria suterella,N
Quiina obovata,N
Randia hondensis ,N
Rauvolfia paraensis,N
Rauvolfia sellowii,N
Rheedia macrophylla,N
Rhodostemonodaphne synandra,N
Rhynchospora pubera,N
Rollinia dolichopetala,N
Rollinia edulis,N
Rollinia mucosa ,N
Rollinia sericea,N
Roucheria columbiana,N
Roucheria schomburgkii,N
Ruizodendron ovale ,N
Sacoglottis cydonioides,N
Salacia cordata,N
Salacia elliptica,N
Sapium stylare,N
Sarcaulus brasiliensis ,N
Saurauia brachybotrys,N
Schefflera paraensis,N
Schinus terebinthifolius,N
Schlegelia ramizii,N
Scleria melaleuca,N
Senna macranthera,N
Simarouba amara,N
Sloanea guianensis,N
Socratea exorrhiza,N
Solanum barbeyanum,N
Solanum buddleiaefolium,N
Sorocea pubivena,N
Sorocea steinbachii,N
Souroubea bicolor,N
Souroubea guianensis,N
Souroubea sympetala ,N
Spermacoce ocymifolia,N
Spondias mombin,N
Spondias venulosa ,N
Steirachne diandra,N
Strychnos amazonica,N
Strychnos erichsonii,N
Strychnos panurensis,N
Strychnos schultesiana,N
Stryphnodendron guianense,N
Stryphnodendron polystachyum,N
Styrax ferrugineus,N
Swartzia leptopetala,N
Syagrus oleracea,N
Syagrus romanzoffiana,N
Syagrus sancona,N
Symphonia globulifera,N
Syzygium cumini,I
Talisia intermedia ,N
Talisia obovata,N
Talisia retusa,N
Tapirira guianensis,N
Tapirira obtusa,N
Tapirira peckoltiana,N
Telitoxicum krukovii,N
Telitoxicum minutiflorum,N
Tetragastris panamensis,N
Theobroma obovatum,N
Theobroma subincanum,N
Tococa bullifera,N
Tontelea attenuata,N
Tontelea mauritioides,N
Touroulia amazonica,N
Trattinnickia aspera,N
Trichilia micrantha ,N
Trichilia pleeana,N
Trichilia tuberculata,N
Trichostigma octandra,N
Trymatococcus oligandrus,N
Turnera ulmifolia,I
Unonopsis lindmanii,N
Vassobia breviflora,N
Virola bicuhyba,N
Virola calophylla ,N
Virola duckei,N
Virola elongata,N
Virola flexuosa,N
Virola kwatae,N
Virola michelii,N
Virola oleifera,N
Virola pavonis,N
Virola peruviana ,N
Virola sebifera,N
Virola surinamensis,N
Vismia brasiliensis,N
Vismia macrophylla,N
Vismia mandur,N
Vitex capitata,N
Vitex cymosa,N
Vitex megapotamica,N
Xylopia polyantha,N
Xyris jupicai,N
Ziziphus cinnamomum,N
Ziziphus joazeiro,N
