Plant_Species,S_Width
Strychnos schultesiana,16.42857143
Stryphnodendron guianense,6.6
Styrax ferrugineus,4.9
Swartzia leptopetala,13.492
Syagrus sancona,19.54545455
Symphonia globulifera,25.5
Syzygium cumini,7.05
Talisia intermedia ,14.85714286
Talisia obovata,11.3015
Talisia retusa,7
Tapirira guianensis,5.171428571
Tetragastris panamensis,8.4
Theobroma obovatum,5.815571429
Theobroma subincanum,14.83333333
Tontelea attenuata,18.3
Tontelea mauritioides,7
Touroulia amazonica,4
Trattinnickia aspera,9
Trichilia micrantha ,5
Trichilia pleeana,7.166666667
Trichilia tuberculata,5.363636364
Trichostigma octandra,3.3
Trymatococcus oligandrus,7
Turnera ulmifolia,1.041666667
Unonopsis lindmanii,8.55
Vassobia breviflora,1.26
Virola bicuhyba,15
Virola calophylla ,12.45235149
Virola elongata,5.173684211
Virola flexuosa,12.67142857
Virola kwatae,18.2
Virola michelii,14.20133333
Virola oleifera,16
Virola pavonis,14.03025
Virola peruviana ,13.925
Virola sebifera,8.333333333
Virola surinamensis,14.4
Vitex capitata,7.16
Vitex cymosa,8.453513514
Vitex megapotamica,5.93
Xylopia polyantha,5.308961039
Xyris jupicai,0.3
Ziziphus cinnamomum,12.8
Ziziphus joazeiro,7
