mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citation_number,citations
Alouatta seniculus,NT,S,Protium heptaphyllum,Burseraceae,N,F,D,NA,6.4,15.4,14,Obregón 2007
Alouatta seniculus,NT,S,Pera arborea,Peraceae,N,F,I,NA,6.677419355,10,14,Obregón 2007
Alouatta seniculus,NT,S,Trattinnickia aspera,Burseraceae,N,F,D,NA,9,9.14586364,14,Obregón 2007
Alouatta seniculus,NT,S,Manilkara huberi,Sapotaceae,N,F,I,1.490196078,13.03071594,33,15,Ratiarison 2011
Alouatta seniculus,NT,S,Manilkara bidentata,Sapotaceae,N,F,I,1.099074074,13.08691983,31.62857143,15,Ratiarison 2011
Alouatta seniculus,NT,S,Virola michelii,Myristicaceae,N,F,D,1,14.20133333,16.664,16,Regan 2001
Alouatta seniculus,NT,S,Chrysophyllum lucentifolium,Sapotaceae,N,F,I,4.01,12.05714286,57,16,Regan 2001
Alouatta seniculus,NT,S,Brosimum guianensis,Moraceae,N,F,I,1.833333333,6.5,15.6125,16,Regan 2001
Alouatta seniculus,NT,S,Pouteria guianensis,Sapotaceae,N,F,I,2.941176471,7.727272727,36.47058824,16,Regan 2001
Alouatta seniculus,NT,S,Inga gracilifolia,Leguminosae,N,F,I,NA,8.9,18.4,16,Regan 2001
Alouatta seniculus,NT,S,Ecclinusa ramiflora,Sapotaceae,N,F,I,NA,11.2,57.7,16,Regan 2001
Alouatta seniculus,NT,S,Theobroma subincanum,Malvaceae,N,F,I,29.58333333,14.83333333,80.83333333,16,Regan 2001
Alouatta seniculus,NT,S,Lacmellea acida,Apocynaceae,N,F,I,NA,NA,NA,16,Regan 2001
Alouatta seniculus,NT,S,Tapirira obtusa,Anacardiaceae,N,F,I,NA,NA,NA,16,Regan 2001
Alouatta seniculus,NT,S,Pouteria laevigata,Sapotaceae,N,F,I,4,21.78695652,35.608,16,Regan 2001
Alouatta seniculus,NT,S,Tetragastris panamensis,Burseraceae,N,F,D,5.5,8.4,36.45,16,Regan 2001
Alouatta seniculus,NT,S,Pouteria egregia,Sapotaceae,N,F,I,1,10.1,18.56666667,16,Regan 2001
Alouatta seniculus,NT,S,Moutabea guianensis,Polygalaceae,N,F,I,NA,17.9,13,16,Regan 2001
Alouatta seniculus,NT,S,Iryanthera sagotiana,Myristicaceae,N,F,D,1,21.9,23.86666667,16,Regan 2001
Alouatta seniculus,NT,S,Bagassa guianensis,Moraceae,N,F,I,NA,NA,19.16666667,16,Regan 2001
Alouatta seniculus,NT,S,Ficus nymphaeifolia,Moraceae,N,F,I,350,1,23,16,Regan 2001
Alouatta seniculus,NT,S,Helicostylis pedunculata,Moraceae,N,F,I,NA,4,5,16,Regan 2001
Alouatta seniculus,NT,S,Mouriri crassifolia,Melastomataceae,N,F,I,3.5,5.4,11.73333333,16,Regan 2001
Alouatta seniculus,NT,S,Micropholis obscura,Sapotaceae,N,F,I,1,7.1,16.5,16,Regan 2001
Alouatta seniculus,NT,S,Pourouma tomentosa,Urticaceae,N,F,I,1,8.38,11.28,16,Regan 2001
Alouatta seniculus,NT,S,Drypetes variabilis,Putranjivaceae,N,F,I,1,9.65,11,16,Regan 2001
Alouatta seniculus,NT,S,Chrysophyllum prieurii,Sapotaceae,N,F,I,3,17,45,16,Regan 2001
Alouatta seniculus,NT,S,Dendrobangia boliviana,Metteniusaceae,N,F,I,1,NA,10,16,Regan 2001
Alouatta seniculus,NT,S,Pouteria ambelaniifolia,Sapotaceae,N,F,I,1.5,NA,21.626,16,Regan 2001
Alouatta seniculus,NT,S,Micropholis cayennensis,Sapotaceae,N,F,I,NA,NA,NA,16,Regan 2001
Alouatta seniculus,NT,S,Rollinia edulis,Annonaceae,N,F,I,17.5,4.256973684,21.3,17,Santos-Heredia 2010
Alouatta seniculus,NT,S,Clarisia racemosa,Moraceae,N,F,I,1,12.71538462,16.58333333,18,Santos-Heredia 2011
Alouatta seniculus,NT,S,Pseudolmedia laevis ,Moraceae,N,F,I,1,5.398780488,9.642857143,18,Santos-Heredia 2011
Alouatta seniculus,NT,S,Ficus insipida,Moraceae,N,F,I,119.3548387,1.4,24.02061856,19,Stevenson 2002
Alouatta seniculus,NT,S,Guapira cuspidata,Nyctaginaceae,N,F,I,1,5.5,8.071428571,19,Stevenson 2002
Alouatta seniculus,NT,S,Inga cylindrica,Leguminosae,N,F,I,8,7.65,18.1111111,19,Stevenson 2002
Alouatta seniculus,NT,S,Inga acreana,Leguminosae,N,F,I,7.872727273,7.795454545,25,19,Stevenson 2002
Alouatta seniculus,NT,S,Coccoloba densifrons,Polygonaceae,N,F,I,1,8.242857143,13,19,Stevenson 2002
Alouatta seniculus,NT,S,Pseudolmedia laevis ,Moraceae,N,F,I,1,5.398780488,9.642857143,19,Stevenson 2002
Alouatta seniculus,NT,S,Castilla ulei,Moraceae,N,F,I,6.242857143,8.5,35.76666667,19,Stevenson 2002
Alouatta seniculus,NT,S,Coccoloba densifrons,Polygonaceae,N,F,I,1,8.242857143,13,20,Yumoto 1999
Alouatta seniculus,NT,S,Pseudolmedia laevis ,Moraceae,N,F,I,1,5.398780488,9.642857143,20,Yumoto 1999
Alouatta seniculus,NT,S,Castilla ulei,Moraceae,N,F,I,6.242857143,8.5,35.76666667,20,Yumoto 1999
Alouatta seniculus,NT,S,Perebea xanthochyma,Moraceae,N,F,I,2.571428571,5.164285714,13.72142857,20,Yumoto 1999
Alouatta seniculus,NT,S,Pseudolmedia laevigata,Moraceae,N,F,I,1,5.389583333,10.3,20,Yumoto 1999
Alouatta seniculus,NT,S,Protium robustum,Burseraceae,N,F,D,2.85,6.271428571,25.8,20,Yumoto 1999
Alouatta seniculus,NT,S,Perebea mollis,Moraceae,N,F,I,13.71428571,6.677083333,26.8,20,Yumoto 1999
Alouatta seniculus,NT,S,Pourouma bicolor,Urticaceae,N,F,I,1,7.447916667,11.91666667,20,Yumoto 1999
Cerdocyon thous,NT,S,Guazuma ulmifolia,Sterculiaceae,N,D,D,48,1.5,17.83870968,1,Bianchi 2014
Cerdocyon thous,NT,S,Harrisia bonplandii,Cactaceae,N,F,D,749,1.8,42.5,1,Bianchi 2014
Cerdocyon thous,NT,S,Protium heptaphyllum,Burseraceae,N,F,D,NA,6.4,15.4,1,Bianchi 2014
Cerdocyon thous,NT,S,Byrsonima orbignyana,Malpighiaceae,N,F,I,NA,7,12.1,1,Bianchi 2014
Cerdocyon thous,NT,S,Vitex cymosa,Lamiaceae,N,F,I,1,8.453513514,16.53666667,1,Bianchi 2014
Cerdocyon thous,NT,S,Genipa americana,Rubiaceae,N,F,I,172.2857143,9.2,63.26388889,1,Bianchi 2014
