mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Alouatta seniculus,NT,S,Ecclinusa ramiflora,Sapotaceae,N,F,I,NA,11.2,57.7,Regan 2001
Alouatta seniculus,NT,S,Minquartia guianensis,Olacaceae,N,F,I,NA,12,NA,"Julliot 1997, Julliot 1996, Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Chrysophyllum lucentifolium,Sapotaceae,N,F,I,4.01,12.05714286,57,"Julliot 1997, Julliot 1996, Regan 2001, Feer 1999, Feer 2002"
Alouatta seniculus,NT,S,Pouteria durlandii,Sapotaceae,N,F,I,2.166666667,12.19090909,63.6,"Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Cheiloclinium hippocrateoides,Celastraceae,N,F,D,3,12.26666667,21.43333333,Gomez 2004
Alouatta seniculus,NT,S,Chrysophyllum manaosense,Sapotaceae,N,F,I,3.5,12.5,30,Andresen 2000
Alouatta seniculus,NT,S,Virola flexuosa,Myristicaceae,N,F,D,1,12.67142857,19.28333333,Holbrook 2006
Alouatta seniculus,NT,S,Clarisia racemosa,Moraceae,N,F,I,1,12.71538462,16.58333333,"Santos-Heredia 2011, Gomez 2004"
Alouatta seniculus,NT,S,Ziziphus cinnamomum,Rhamnaceae,N,F,I,1,12.8,15.6,"Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Ecclinusa guianensis,Sapotaceae,N,F,I,3,13,22.5,Julliot 1996
Alouatta seniculus,NT,S,Manilkara huberi,Sapotaceae,N,F,I,1.490196078,13.03071594,33,Ratiarison 2011
Alouatta seniculus,NT,S,Manilkara bidentata,Sapotaceae,N,F,I,1.099074074,13.08691983,31.62857143,"Ratiarison 2011, Andreson 2004, Julliot 1996, Andresen 2000"
Alouatta seniculus,NT,S,Virola michelii,Myristicaceae,N,F,D,1,14.20133333,16.664,"Julliot 1997, Guillotin 1994, Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Virola surinamensis,Myristicaceae,N,D,D,1,14.4,18.6,Julliot 1996
Alouatta seniculus,NT,S,Pouteria oblanceolata,Sapotaceae,N,F,I,1,14.5,30,Andresen 2000
Alouatta seniculus,NT,S,Theobroma subincanum,Malvaceae,N,F,I,29.58333333,14.83333333,80.83333333,Regan 2001
Alouatta seniculus,NT,S,Ecclinusa lanceolata,Sapotaceae,N,F,I,4.5,15,28,Julliot 1996
Alouatta seniculus,NT,S,Anacardium spruceanum,Anacardiaceae,N,F,I,1,16,36,Andresen 2000
Alouatta seniculus,NT,S,Spondias mombin,Anacardiaceae,N,F,I,1.357142857,16.35714286,25,"Guillotin 1994, Andresen 2000"
Alouatta seniculus,NT,S,Chrysophyllum prieurii,Sapotaceae,N,F,I,3,17,45,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Socratea exorrhiza,Arecaceae,N,F,I,1,17.48148148,21.66666667,Andresen 2000
